start,end
197916073,197916678
197917371,197917823
200027709,200027847
200738892,200739827
200872980,200873037
200898306,200898400
201283505,201283702
201739899,201740023
201829156,201829209
201888897,201888994
201983360,201983462
202193798,202193989
202203711,202203819
202214078,202214154
202348698,202348851
202495292,202495469
203007373,203007465
203008642,203008740
203038609,203039008
203128784,203128841
203165055,203165123
203305518,203305606
203682741,203683205
203765182,203765342
203765182,203765565
203816925,203817070
203861598,203861659
203861598,203861727
203861846,203861913
203861846,203861921
204944225,204944315
205053099,205053185
205227945,205228564
205246495,205246619
205256201,205256389
205569013,205569069
206097732,206097828
206205428,206205970
206507530,206507602
206557163,206557573
206635535,206635703
206636874,206636951
206684904,206685229
206897730,206897832
207321677,207321765
207454327,207454418
207496156,207496267
207645132,207645233
207752053,207752212
209759981,209760039
209827971,209828063
210013632,210013685
210015180,210016003
210328901,210329010
211259365,211259560
212035747,212035890
212066811,212066881
212285409,212286110
212301857,212302082
212624473,212624877
212858274,212858452
212951338,212951542
212951588,212951737
213051240,213051404
213129526,213129597
213167857,213167913
213240701,213240871
213996468,213996535
214281158,214281254
215005541,215005921
215082736,215083385
215567303,215567685
215577928,215577990
218345335,218346701
220094131,220094216
220528135,220528822
220748321,220748531
220879442,220879857
222627574,222627712
222644328,222644475
222718924,222718991
222991854,222991950
223393414,223393475
223701596,223701828
223712538,223712640
224183239,224183336
224365878,224365929
224434848,224435088
224515740,224515857
224616316,224617174
225777825,225777940
226548763,226548904
227563555,227563694
227734995,227735409
228006997,228007128
228174691,228174929
228735478,228735742
229271110,229271339
230057788,230058066
230642480,230642606
230747387,230747496
231162057,231162969
231241211,231241378
231338292,231338383
231528668,231528810
231626789,231626867
232950610,232950710
233327723,233328028
233614105,233614171
233904675,233905077
234214218,234214498
236142538,236142622
236394285,236394444
236395412,236395629
236525967,236526070
236686498,236686673
236795291,236795703
237042183,237042521
240091882,240092109
